"ConstituentID","FileName","MediaView","PrimaryDisplay","PublicCaption","ObjectNumber","ObjectID"
"2","aarons_george.jpg","Luce","1","George Aarons Archive, Courtesy the North Shore Arts Association.","",""
"10","portrait_image_113456.jpg","Luce","1","Courtesy Darryl Abraham.","",""
"23","J0001165_1b.jpg","Juley","1","Herbert Adams, Peter A. Juley & Son Collection, Smithsonian American Art Museum J0001165","",""
"24","J0087048_1b.jpg","Juley","0","Kenneth M. Adams, Peter A. Juley & Son Collection, Smithsonian American Art Museum J0087048","",""
"24","J0087047_1b.jpg","Juley","1","Kenneth M. Adams, Peter A. Juley & Son Collection, Smithsonian American Art Museum J0087047","",""
"36","aguado_deborah.jpg","Luce","1","Photograph credited to Paul Seligman
","",""
"40","J0001187_1b.jpg","Juley","1","Robert Aitken, Peter A. Juley & Son Collection, Smithsonian American Art Museum J0001187","",""
"40","J0001185_1b.jpg","Juley","0","Robert Aitken with full-size model for "The Skirmisher," Peter A. Juley & Son Collection, Smithsonian American Art Museum J0001185","",""
"40","J0029868_1b.jpg","Juley","0","Robert Aitken in his studio with model for <i>Robert Burns</i>, Peter A. Juley & Son Collection, Smithsonian American Art Museum J0029868","",""
"44","J0091734_1b.jpg","Juley","1","Grace Albee at work in her studio, Peter A. Juley & Son Collection, Smithsonian American Art Museum J0091734","",""
"52","portrait_image_113717.jpg","Luce","0","National Portrait Gallery, Smithsonian Institution
","",""
"52","1966.64.1_1a.jpg","Permanent Collection","1","Ivan Albright, <i>Self Portrait  55 East Division Street</i>, 1948, lithograph on paper, Smithsonian American Art Museum,Museum purchase  1966.64.1.","1966.64.1                                 ","219"
"55","J0001171_1b.jpg","Juley","1","John White Alexander, Peter A. Juley & Son Collection, Smithsonian American Art Museum J0001171","",""
"64","J0001173_1b.jpg","Juley","1","Junius Allen, Peter A. Juley & Son Collection, Smithsonian American Art Museum J0001173","",""
"85","portrait_image_28115.jpg","Luce","1","Self Portrait of Ezra Ames (1786-1836) ca. 1800  Oil on Canvas; 23 3/4 x 30 inches  Albany Institute of History & Art  Gift of Miss Mary Louisa Sutliff, great-grandniece of the artist  x1940.600.27.2
","",""
"95","portrait_image_28124.jpg","Luce","1","Courtesy Jeremy Anderson.
","",""
"96","J0030131_1b.jpg","Juley","1","Karl Anderson, Peter A. Juley & Son Collection, Smithsonian American Art Museum J0030131","",""
"96","J0001201_1b.jpg","Juley","0","Karl Anderson, Peter A. Juley & Son Collection, Smithsonian American Art Museum J0001201","",""
"107","1966.51.92_1a.jpg","Permanent Collection","0","Emilo Angela, Smithsonian American Art Museum, Gift of Mrs. Anthony de Francisci 1966.51.92.","1966.51.92                                ","6418"
"107","J0079891_1b.jpg","Juley","1","Emilio Angela, Peter A. Juley & Son Collection, Smithsonian American Art Museum J0079891","",""
"109","portrait_image_114897.jpg","Luce","1","Thomas Anshutz, about 1900 / unidentified photographer. Thomas Anshutz papers, Archives of American Art, Smithsonian Institution.
","",""
"112","antonio_johnson.jpg","Luce","1","Photo by Chuck Rosenak, courtesy of the Chuck and Jan Rosenak research material, ca. 1987-1998, Archives of American Art, Smithsonian Institution
","",""
"128","portrait_image_113200.jpg","Luce","1","Courtesy Alexander Archipenko papers, 1904-1986. Archives of American Art, Smithsonian Institution.
","",""
"129","portrait_image_113313.jpg","Luce","1","© 1986 Davis Mather; Originally photographed by Chuck Rosenak. Image is courtesy of the Chuck and Jan Rosenak research material, 1990-1999, in the Archives of American Art, Smithsonian Institution.
","",""
"134","armin_emil.jpg","Luce","1","Courtesy Emil Armin Papers, Archives of American Art, Smithsonian Institution.
","",""
"135","J0001199_1b.jpg","Juley","1","John Taylor Arms, Peter A. Juley & Son Collection, Smithsonian American Art Museum J0001199","",""
"140","portrait_image_113314.jpg","Luce","0","© 1982 Mimi Jacobs; Courtesy Mimi Jacobs Papers, Archives of American Art.
","",""
"140","1985.81_1a.jpg","Permanent Collection","1","Robert Arneson, <i>Feeling Pushed</i>, 1977, chalk, pencil, and crayon on paper, Smithsonian American Art Museum,Gift of Mr. and Mrs. Kurt Olden  1985.81.","1985.81                                   ","594"
"140","2005.5.2_1a.jpg","Permanent Collection","0","Robert Arneson, <i>35 Year Portrait</i>, 1986, glazed ceramic, Smithsonian American Art Museum,Bequest of Edith S. and Arthur J. Levin  2005.5.2.","2005.5.2                                  ","74655"
"146","aronson_david.jpg","Luce","1","Originally photographed by the Boston University Photo Service. Image is courtesy of the Macbeth Gallery records, 1890-1964 in the Archives of American Art, Smithsonian Institution.
","",""
"152","J0025841_1b.jpg","Juley","1","Mary Ascher, Peter A. Juley & Son Collection, Smithsonian American Art Museum J0025841
","",""
"154","portrait_image_113315.jpg","Luce","1","© 1973 Kenneth A. Fadeley; Originally photographed by Chuck Rosenak. Image is courtesy of the Chuck and Jan Rosenak research material, 1990-1999, in the Archives of American Art, Smithsonian Institution.
","",""
"169","J0001851_1b.jpg","Juley","1","William Auerbach-Levy, Peter A. Juley & Son Collection, Smithsonian American Art Museum J0001851","",""
"171","portrait_image_113391.jpg","Luce","1","Courtesy Archives of American Art, Smithsonian Institution.
","",""
"176","portrait_image_113758.jpg","Luce","0","Courtesy Alfredo Valente papers, 1941-1978. Archives of American Art.
","",""
"176","1971.7_1a.jpg","Permanent Collection","1","Milton Avery, <i>Self-Portrait</i>, 1937, drypoint on paper, Smithsonian American Art Museum, Museum purchase 1971.7.","1971.7                                    ","706"
"190","portrait_image_113220.jpg","Luce","1","© Bibliothêque publique et universitaire, Neuchâtel.
","",""
"195","J0001287_1b.jpg","Juley","1","Peggy Bacon, Peter A. Juley & Son Collection, Smithsonian American Art Museum J0001287","",""
"195","1971.107_1a.jpg","Permanent Collection","0","Self-Portrait by Peggy Bacon, ca. 1934, pen and ink on paper, Smithsonian American Art Museum, Gift of Mr. and Mrs. Anthony Wilson 1971.107.","1971.107                                  ","826"
"196","badami_andrea.jpg","Luce","1","Originally photographed by Chuck Rosenak. Image is courtesy of the Chuck and Jan Rosenak research material, 1990-1999, in the Archives of American Art, Smithsonian Institution.
","",""
