ObjectID,objectnumber,Dimensions,,,,,
25,1983.16.3,sheet: 8 x 10 in. (20.3 x 25.4 cm.); image...,,,,,
35,1962.8.76,image: 17 7/8 x 12 3/4 in. (45.5 x 32.4 cm) irregular,,,,,
60,1975.111.3,image and sheet: 22 x 18 in. (55.9 x 45.7 cm),,,,,
99,1989.30.1A-E,25 1/2 x 15 3/4 in. (64.8 x 40.0 cm) diam.,,,,,
175,1988.18.3,sheet and image: 20 x 25 in. (50.8 x 63.5 cm),,,,,
12,1975.83.6,sheet: 17 3/4 x 22 3/4 in. (45.1 x 57.6 cm.),,,,,
17,1975.83.14,sheet: 17 7/8 x 14 1/8 in. (45.3 x 35.9 cm.),,,,,
30,1973.176.1,sheet: 29 5/8 x 22 1/8 in. (75.3 x 56.3 cm),,,,,
115,1915.11.1,sight 16 1/8 x 11 1/2 in. (41.0 x 29.2 cm),,,,,
150,1976.83,image: 4 5/8 x 6 in. (11.6 x 15.1 cm),,,,,
177,1988.18.5,sheet and image: 20 x 25 in. (50.8 x 63.5 cm),,,,,
178,1988.18.6,sheet and image: 20 x 25 in. (50.8 x 63.5 cm),,,,,
179,1988.18.7,sheet and image: 20 x 25 in. (50.8 x 63.5 cm),,,,,
1,1984.124.1,sheet: 11 x 9 in. (28.0 x 22.7 cm),,,,,
63,1975.112.3,image and sheet: 22 x 18 in. (55.9 x 45.7 cm),,,,,
65,1988.16,sheet and image: 44 x 30 in. (111.7 x 76.2 cm),,,,,
167,1973.73.3,image: 15 3/4 x 15 3/4 in. (40.0 x 40.0 cm),,,,,
204,1979.140.2,image: 11 x 12 in. (28.0 x 30.5 cm),,,,,
210,1968.97.30,plate: 21 x 14 3/4 in. (53.3 x 37.5 cm),,,,,
22,1983.16.1,image and sheet: 10 x 8 in. (25.4 x 20.3 cm.),,,,,
154,1979.140.1,image: 11 x 12 in. (28.0 x 30.5 cm),,,,,
185,1977.68.6,,,,,,
82,1974.28.1,11 5/8 x 28 in. (29.5 x 71.1 cm.),,,,,
117,1929.7.14,sight 5 1/4 x 3 3/8 in. (13.5 x 8.6 cm),,,,,
126,1935.13.4,plate: 10 1/2 x 8 1/2 in. (26.7 x 21.7 cm),,,,,
281,1972.74.37,image: 11 1/4 x 14 5/8 in. (28.6 x 37.1 cm),,,,,
320,1979.159.39,19 3/4 x 14 3/4 x 6 7/8 in. (50.1 x 37.5 x 17.5 cm),,,,,
352,1983.63.52,,,,,,
85,1973.72.4,image: 13 x 9 1/2 in. (33.2 x 24.1 cm),,,,,
87,XX1,12 x 18 x 21 in. (30.4 x 45.7 x 53.2 cm),,,,,
96,1983.63.6,,,,,,
18,1983.16.7,image: 7 1/8 x 9 5/8 in. (18.1 x 24.5 cm.),,,,,
129,1979.136.5,sheet: 6 1/4 x 8 5/8 in. (15.9 x 21.9 cm),,,,,
173,1988.18.1,image and sheet: 20 x 25 in. (50.8 x 63.5 cm),,,,,
153,1984.154.2,image: 13 1/4 x 14 5/8 in. (33.6 x 37.3 cm),,,,,
157,1976.108.5,,,,,,
158,1973.73.1,image: 15 3/4 x 15 3/4 in. (40.0 x 40.0 cm),,,,,
353,1983.63.53,,,,,,
436,1974.28.291,sheet: 11 7/8 x 17 7/8 in. (30.2 x 45.3 cm),,,,,
477,1980.39.6,,,,,,
198,1976.108.10,,,,,,
205,1986.92.1,27 1/4 x 36 in. (69.2 x 91.5 cm.),,,,,
208,1968.97.34,plate: 13 1/4 x 23 in. (33.7 x 58.4 cm),,,,,
31,1973.176.2,sheet: 30 1/8 x 22 in. (76.4 x 55.8 cm),,,,,
41,1978.146.2,27 1/2 x 35 in. (69.8 x 88.9 cm.),,,,,
134,1935.13.372,sight 7 1/4 x 9 3/8 in. (18.4 x 23.8 cm),,,,,
124,1975.145,1 3/4 x 1 3/4 in. (4.5 x 4.4 cm),,,,,
135,1935.13.369,plate: 5 7/8 x 7 7/8 in. (14.8 x 20.0 cm),,,,,
163,1977.73.1,,,,,,
225,1909.7.1,40 1/8 x 22 1/8 in. (101.8 x 56.3 cm),,,,,
247,1972.74.20,plate: 9 7/8 x 11 7/8 in. (25.1 x 30.2 cm),,,,,
455,1979.159.23,21 5/8 x 34 x 19 5/8 in. (54.9 x 86.5 x 49.9 cm),,,,,
182,1977.48.13,,,,,,
190,1976.108.2,,,,,,
191,1977.48.11,,,,,,
239,1969.11,23 x 10 1/4 x 12 5/8 in. (58.4 x 26.0 x 32.1 cm),,,,,
181,1970.1.P-1,,,,,,
207,1946.7.1,22 3/8 x 8 x 14 3/4 in. (56.7 x 20.3 x 37.6 cm.),,,,,
214,1906.9.32,sheet: 7 1/8 x 8 7/8 in.  (18.0 x 22.4 cm.),,,,,
42,1971.447.1,sight 36 x 30 1/8 in. (91.5 x 76.5 cm),,,,,
51,1981.54.2,sheet: 14 1/8 x 20 in. (36.0 x 50.9 cm),,,,,
64,1970.264.1,plate: 11 5/8 x 13 5/8 in. (29.5 x 34.6 cm),,,,,
160,1977.48.14,,,,,,
201,1976.108.13,,,,,,
236,1974.28.180,sheet: 25 1/4 x 13 7/8 in. (64.2 x 35.4 cm),,,,,
486,1980.39.1,,,,,,
530,1986.41.6,image: 15 x 15 in. (38.2 x 38.2 cm.),,,,,
533,1986.41.7,image: 14 3/4 x 14 3/4 in. (37.5 x 37.5 cm.) irregular,,,,,
8,1975.83.18,sheet: 17 3/4 x 14 1/4 in. (45.2 x 36.0 cm.),,,,,
28,1975.83.13,sheet: 17 1/2 x 14 1/8 in. (44.6 x 35.8 cm.),,,,,
206,1971.18,image: 10 x 13 7/8 in. (25.5 x 35.4 cm),,,,,
263,1972.74.26,image: 12 x 9 in. (30.3 x 22.7 cm),,,,,
374,1978.55.2,15 1/2 x 15 1/2 x 1 7/8 in.  (39.5 x 39.4 x 4.8 cm),,,,,
243,1972.74.46,image: 11 3/4 x 8 1/4 in. (29.7 x 21.1 cm),,,,,
255,1972.74.7,8 7/8 x 11 in. (22.5 x 27.8 cm),,,,,
267,1972.74.43,image: 8 3/4 x 11 1/2 in. (22.4 x 29.2 cm),,,,,
159,1973.73.2,image: 15 3/4 x 15 3/4 in. (40.0 x 40.0 cm),,,,,
203,1980.115.3,image: 11 x 12 in. (28.0 x 30.5 cm),,,,,
235,1974.28.189,sheet: 28 3/8 x 35 in. (72.1 x 89.0 cm),,,,,
494,1973.59,image: 18 x 12 in. (45.6 x 30.4 cm),,,,,
536,1986.41.2,image: 15 3/8 x 14 3/4 in. (39.2 x 37.3 cm.),,,,,
590,1989.54.2,image: 9 1/2 x 19 5/8 in. (24.0 x 49.8 cm.),,,,,
52,1981.54.1,plate: 11 1/2 x 23 3/4 in. (29.2 x 60.3 cm),,,,,
66,1977.48.8,,,,,,
92,1983.63.2,,,,,,
261,1972.74.40,image: 11 7/8 x 9 in. (30.2 x 22.7 cm),,,,,
265,1972.74.47,image: 14 1/4 x 10 1/8 in. (36.2 x 25.7 cm),,,,,
285,1971.299,plate: 11 7/8 x 10 in. (30.3 x 25.3 cm),,,,,
240,1967.14.141,,,,,,
292,1972.74.14,plate: 12 1/2 x 8 7/8 in. (31.8 x 22.5 cm),,,,,
294,1972.74.1,plate: 8 7/8 x 6 in. (22.7 x 15.2 cm),,,,,
246,1972.74.28,image: 8 7/8 x 12 5/8 in. (22.5 x 32.1 cm),,,,,
248,1972.74.33,image: 9 3/8 x 12 7/8 in. (23.7 x 32.8 cm),,,,,
300,1984.124.3,sheet: 16 3/4 x 14 in. (42.6 x 35.7 cm),,,,,
548,1967.127.3,sheet: 30 1/4 x 22 1/4 in. (76.7 x 56.4 cm),,,,,
617,1987.51.4,image and sheet: 16 x 22 in. (40.6 x 55.9 cm),,,,,
707,1979.154,sheet: 13 7/8 x 16 7/8 in. (35.2 x 42.8 cm),,,,,
72,1977.74.9,sheet and image: 10 1/4 x 13 1/2 in. (26.1 x 34.8 cm.),,,,,
219,1966.64.1,image: 14 1/4 x 10 1/8 in. (36.2 x 25.8 cm),,,,,
404,1935.13.8,sight 6 1/4 x 8 in. (15.9 x 20.3 cm),,,,,
